name_1,name_2,name_3,name_4,name_5,name_6,name_7,Fuel Cell_HOT 0.05_y7,Fuel Cell_HOT 0.1_y7,Fuel Cell_HOT 0.2_y7,Fuel Cell_HOT 0.6_y7,Fuel Cell_HOT 1.0_y7,Fuel Cell_HOT 1.2_y7,Fuel Cell_HOT 1.5_y7,Fuel Cell_HOT 1.7_y7,Fuel Cell_HOT 1.9_y7,Fuel Cell_HOT 2.1_y7,Fuel Cell_HOT 2.4_y7,Fuel Cell_HOT OCV_y7,Fuel Cell_NOC 0.05_y7,Fuel Cell_NOC 0.1_y7,Fuel Cell_NOC 0.2_y7,Fuel Cell_NOC 0.6_y7,Fuel Cell_NOC 1.0_y7,Fuel Cell_NOC 1.2_y7,Fuel Cell_NOC 1.5_y7,Fuel Cell_NOC 1.7_y7,Fuel Cell_NOC 1.9_y7,Fuel Cell_NOC 2.1_y7,Fuel Cell_NOC 2.4_y7,Fuel Cell_NOC OCV_y7,Fuel Cell_WUP 0.1_y7,Fuel Cell_WUP 0.2_y7,Fuel Cell_WUP 0.6_y7,Fuel Cell_WUP 1.0_y7,Fuel Cell_WUP 1.2_y7,Fuel Cell_WUP 1.5_y7,Fuel Cell_WUP 1.7_y7,Fuel Cell_WUP 1.9_y7,Fuel Cell_WUP 2.1_y7,Fuel Cell_WUP 2.4_y7
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.803,0.773,0.727,0.556,0.401,0.31,0.19,0.105,0.106,0.106,0.107,0.923,0.804,0.781,0.736,0.656,0.567,0.519,0.435,0.37,0.295,0.233,0.108,0.929,0.707,0.568,0.099,0.1,0.1,0.1,0.1,0.1,0.101,0.101
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.682,0.52,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.097,0.097,0.89,0.632,0.545,0.098,0.098,0.097,0.097,0.097,0.097,0.097,0.097,0.096,0.901,0.494,0.136,0.105,0.101,0.099,0.099,0.097,0.098,0.098,0.098
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.811,0.768,0.683,0.1,0.101,0.101,0.102,0.102,0.103,0.104,0.104,0.935,0.815,0.773,0.699,0.475,0.102,0.102,0.103,0.103,0.104,0.104,0.104,0.94,0.648,0.29,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.1
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.806,0.777,0.732,0.571,0.429,0.341,0.213,0.109,0.109,0.11,0.111,0.93,0.806,0.781,0.74,0.66,0.575,0.532,0.457,0.403,0.345,0.282,0.112,0.936,0.683,0.441,0.101,0.101,0.101,0.101,0.102,0.102,0.102,0.102
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.812,0.779,0.737,0.65,0.605,0.592,0.575,0.566,0.556,0.547,0.528,0.92,0.799,0.804,0.775,0.713,0.677,0.662,0.643,0.633,0.623,0.613,0.595,0.923,0.804,0.773,0.713,0.66,0.637,0.6,0.578,0.556,0.534,0.499
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.823,0.791,0.752,0.673,0.632,0.619,0.6,0.591,0.58,0.569,0.551,0.959,0.81,0.811,0.782,0.725,0.69,0.676,0.658,0.648,0.639,0.628,0.611,0.977,0.81,0.778,0.718,0.662,0.637,0.597,0.572,0.547,0.522,0.482
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.815,0.779,0.719,0.403,0.105,0.106,0.106,0.107,0.107,0.108,0.108,0.953,0.821,0.786,0.734,0.618,0.451,0.349,0.107,0.107,0.108,0.108,0.109,0.962,0.699,0.515,0.1,0.101,0.1,0.101,0.101,0.101,0.101,0.102
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.811,0.779,0.735,0.639,0.589,0.576,0.566,0.563,0.553,0.544,0.526,0.925,0.804,0.803,0.772,0.711,0.673,0.658,0.639,0.629,0.617,0.605,0.586,0.934,0.806,0.775,0.715,0.667,0.647,0.612,0.588,0.566,0.543,0.502
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.82,0.793,0.755,0.643,0.571,0.544,0.504,0.479,0.45,0.42,0.366,0.937,0.824,0.804,0.769,0.711,0.661,0.634,0.593,0.566,0.54,0.513,0.473,0.946,0.774,0.722,0.586,0.421,0.338,0.118,0.119,0.12,0.121,0.122
Catalyst,Catalyst Ink Manufacturing,Catalyst Ink,MEAFabrication,Name,Fuel Cell Manufacturing,Fuel Cell,0.789,0.754,0.704,0.59,0.535,0.519,0.499,0.493,0.482,0.477,0.459,0.93,0.761,0.784,0.762,0.69,0.654,0.64,0.622,0.612,0.602,0.591,0.574,0.922,0.807,0.777,0.72,0.674,0.652,0.618,0.598,0.578,0.56,0.531
